country,year,projected_cases,lower_ci,upper_ci
Eritrea,2030,1470.7,131.8,16405.6
Estonia,2024,74.5,18.1,306.3
Estonia,2025,67.8,14.0,327.8
Estonia,2026,61.7,10.8,352.0
Estonia,2027,56.1,8.3,378.9
Estonia,2028,51.1,6.4,408.6
Estonia,2029,46.5,4.9,441.1
Estonia,2030,42.3,3.7,476.9
Eswatini,2024,1638.6,401.2,6692.6
Eswatini,2025,1461.0,304.3,7014.7
Eswatini,2026,1302.7,230.1,7375.8
Eswatini,2027,1161.6,173.6,7773.6
Eswatini,2028,1035.7,130.7,8207.6
Eswatini,2029,923.5,98.3,8677.8
Eswatini,2030,823.5,73.8,9184.9
Ethiopia,2024,154957.2,37950.3,632714.6
Ethiopia,2025,164211.7,34214.0,788142.5
Ethiopia,2026,174018.9,30747.5,984881.3
Ethiopia,2027,184411.9,27567.2,1233632.5
Ethiopia,2028,195425.5,24671.8,1547970.1
Ethiopia,2029,207097.0,22050.0,1945086.3
Ethiopia,2030,219465.4,19685.4,2446739.1
Fiji,2024,588.0,143.8,2404.6
Fiji,2025,631.4,131.3,3036.0
Fiji,2026,678.1,119.6,3845.5
Fiji,2027,728.2,108.6,4882.3
Fiji,2028,782.1,98.5,6209.9
Fiji,2029,839.9,89.2,7909.3
Fiji,2030,902.0,80.7,10084.7
Finland,2024,169.5,41.4,694.7
Finland,2025,162.8,33.8,784.6
Finland,2026,156.4,27.5,888.9
Finland,2027,150.2,22.3,1009.5
Finland,2028,144.2,18.1,1148.5
Finland,2029,138.5,14.7,1308.4
Finland,2030,133.0,11.9,1492.2
France,2024,4211.8,762.1,23275.5
France,2025,4144.5,565.9,30352.6
France,2026,4078.4,416.8,39902.7
France,2027,4013.3,305.4,52739.5
France,2028,3949.2,222.9,69964.9
France,2029,3886.1,162.3,93063.7
France,2030,3824.1,117.9,124032.7
Gabon,2024,5424.2,1328.3,22150.9
Gabon,2025,5554.2,1157.1,26661.6
Gabon,2026,5687.3,1004.7,32193.1
Gabon,2027,5823.5,870.4,38964.0
Gabon,2028,5963.1,752.7,47243.1
Gabon,2029,6105.9,650.0,57360.6
Gabon,2030,6252.3,560.7,69720.5
Gambia,2024,3186.5,780.2,13014.4
Gambia,2025,3360.6,700.0,16134.0
Gambia,2026,3544.2,626.0,20065.2
Gambia,2027,3737.8,558.5,25013.0
Gambia,2028,3941.9,497.5,31236.7
Gambia,2029,4157.3,442.4,39062.8
Gambia,2030,4384.4,393.1,48902.9
Georgia,2024,1140.1,279.1,4657.4
Georgia,2025,1033.9,215.3,4964.9
Georgia,2026,937.6,165.6,5309.6
Georgia,2027,850.3,127.0,5691.6
Georgia,2028,771.1,97.3,6112.0
Georgia,2029,699.3,74.4,6572.6
Georgia,2030,634.2,56.8,7075.5
Germany,2024,4420.4,1082.4,18052.1
Germany,2025,4389.7,914.5,21072.1
Germany,2026,4359.2,770.1,24675.9
Germany,2027,4328.9,647.0,28964.0
Germany,2028,4298.8,542.6,34058.1
Germany,2029,4268.9,454.4,40103.5
Germany,2030,4239.2,380.1,47273.3
Ghana,2024,17015.9,4167.2,69481.4
Ghana,2025,17308.7,3606.2,83077.5
Ghana,2026,17606.5,3110.7,99650.7
Ghana,2027,17909.4,2677.1,119811.9
Ghana,2028,18217.5,2299.8,144309.4
Ghana,2029,18530.9,1972.9,174056.0
Ghana,2030,18849.7,1690.7,210162.7
Guam,2024,60.9,14.7,251.3
Guam,2025,60.2,12.4,292.6
Guam,2026,59.6,10.4,341.7
Guam,2027,58.9,8.7,400.0
Guam,2028,58.3,7.2,469.2
Guam,2029,57.6,6.0,551.0
Guam,2030,57.0,5.0,647.8
Guatemala,2024,4393.4,1075.8,17942.1
Guatemala,2025,4557.3,949.3,21877.2
Guatemala,2026,4727.3,835.1,26760.3
Guatemala,2027,4903.6,732.8,32810.7
Guatemala,2028,5086.5,642.0,40300.8
Guatemala,2029,5276.2,561.6,49569.1
Guatemala,2030,5473.0,490.8,61035.4
Guinea,2024,23431.7,5738.4,95678.5
Guinea,2025,25376.7,5287.1,121801.4
Guinea,2026,27483.1,4855.8,155550.9
Guinea,2027,29764.4,4449.2,199120.4
Guinea,2028,32235.1,4069.3,255348.7
Guinea,2029,34910.8,3716.8,327907.5
Guinea,2030,37808.7,3391.1,421542.5
Guinea-Bissau,2024,2781.3,681.0,11359.8
Guinea-Bissau,2025,2857.0,595.1,13716.5
Guinea-Bissau,2026,2934.7,518.4,16615.0
